Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000            3.211       -0.781        3.991   285.9
0.0000            3.211       -0.780        3.991   285.9
0.0000            3.211       -0.780        3.991   285.9
0.0000            3.211       -0.781        3.991   285.9
0.0000            3.211       -0.781        3.991   285.9
0.0001            3.211       -0.781        3.991   285.9
0.0001            3.210       -0.781        3.991   285.9
0.0001            3.210       -0.781        3.991   285.9
0.0001            3.210       -0.781        3.991   285.9
0.0001            3.210       -0.781        3.991   285.9
0.0001            3.210       -0.781        3.991   285.9
0.0001            3.210       -0.782        3.991   285.9
0.0001            3.210       -0.782        3.991   285.9
0.0001            3.209       -0.782        3.991   285.9
0.0001            3.209       -0.782        3.991   285.9
0.0002            3.209       -0.782        3.991   285.9
0.0002            3.209       -0.783        3.991   285.9
0.0002            3.209       -0.783        3.991   285.9
0.0002            3.208       -0.783        3.991   285.9
0.0002            3.208       -0.783        3.991   285.9
0.0002            3.208       -0.783        3.991   285.9
0.0002            3.208       -0.784        3.991   285.9
0.0002            3.207       -0.784        3.991   285.9
0.0002            3.207       -0.784        3.991   285.9
0.0002            3.207       -0.784        3.991   285.9
0.0003            3.207       -0.785        3.991   285.9
0.0003            3.206       -0.785        3.991   285.9
0.0003            3.206       -0.785        3.991   285.9
0.0003            3.206       -0.785        3.991   285.9
0.0003            3.206       -0.786        3.991   285.9
0.0003            3.205       -0.786        3.991   285.9
0.0003            3.205       -0.786        3.991   285.9
0.0003            3.205       -0.787        3.991   285.9
0.0003            3.205       -0.787        3.991   285.9
0.0003            3.204       -0.787        3.991   285.9
0.0004            3.204       -0.787        3.991   285.9
0.0004            3.204       -0.788        3.991   285.9
0.0004            3.203       -0.788        3.991   285.9
0.0004            3.203       -0.788        3.991   285.9
0.0004            3.203       -0.789        3.991   285.9
0.0004            3.203       -0.789        3.991   285.9
0.0004            3.202       -0.789        3.991   285.9
0.0004            3.202       -0.789        3.991   285.9
0.0004            3.202       -0.790        3.991   285.9
0.0004            3.201       -0.790        3.991   285.9
0.0005            3.201       -0.790        3.991   285.9
0.0005            3.201       -0.791        3.991   285.9
0.0005            3.201       -0.791        3.991   285.9
0.0005            3.200       -0.791        3.991   285.9
0.0005            3.200       -0.791        3.991   285.9
0.0005            3.200       -0.792        3.991   285.9
0.0005            3.199       -0.792        3.991   285.9
0.0005            3.199       -0.792        3.991   285.9
0.0005            3.199       -0.792        3.991   285.9
0.0005            3.199       -0.793        3.991   285.9
0.0006            3.198       -0.793        3.991   285.9
0.0006            3.198       -0.793        3.991   285.9
