       Step     Time          Energy          fmax
MDMin:    0 14:57:05        0.881804        3.492986
MDMin:    1 14:57:05        0.772060        2.771362
MDMin:    2 14:57:05        0.626121        0.301769
MDMin:    3 14:57:05        0.770648        3.537536
MDMin:    4 14:57:05        0.674004        1.961277
MDMin:    5 14:57:05        0.633191        0.735219
MDMin:    6 14:57:05        0.628633        0.503585
MDMin:    7 14:57:05        0.624829        0.073667
MDMin:    8 14:57:05        0.624784        0.048436
MDMin:    9 14:57:05        0.624751        0.009691
